regulator,Source,Category
AccB,RegulonDB_TF,TF
AccDA,Ecocyc,Translation
AcnB,Ecocyc,Translation
AcrR,RegulonDB_TF,TF
Ada,RegulonDB_TF,TF
Adenosylcobalamin,Ecocyc,
AdiY,RegulonDB_TF,TF
AgaR,RegulonDB_TF,TF
AidB,RegulonDB_TF,TF
AlaS,RegulonDB_TF,TF
AllR,RegulonDB_TF,TF
AllS,RegulonDB_TF,TF
AlpA,Ecocyc,TF
AlsR,RegulonDB_TF,TF
AppY,RegulonDB_TF,TF
AraC,RegulonDB_TF,TF
ArcA,RegulonDB_TF,TF
arcZ,RegulonDB_sRNA,sRNA
ArgP,RegulonDB_TF,TF
ArgR,RegulonDB_TF,TF
ArrS,Ecocyc,sRNA
ArsR,RegulonDB_TF,TF
AscG,RegulonDB_TF,TF
AsnC,RegulonDB_TF,TF
AtoC,RegulonDB_TF,TF
BaeR,RegulonDB_TF,TF
BasR,RegulonDB_TF,TF
BetI,RegulonDB_TF,TF
BglG,Ecocyc,transcriptional antiterminator 
BirA,RegulonDB_TF,TF
BluR,RegulonDB_TF,TF
BolA,RegulonDB_TF,TF
BtsR,RegulonDB_TF,TF
CadC,RegulonDB_TF,TF
CaiF,RegulonDB_TF,TF
Cbl,RegulonDB_TF,TF
CdaR,RegulonDB_TF,TF
CecR,RegulonDB_TF,TF
ChbR,RegulonDB_TF,TF
ChiX,Ecocyc,sRNA
ComR,RegulonDB_TF,TF
cpxQ,RegulonDB_sRNA,sRNA
CpxR,RegulonDB_TF,TF
Cra,RegulonDB_TF,TF
CreB,RegulonDB_TF,TF
Crp,RegulonDB_TF,TF
CRP-Sxy,RegulonDB_TF,TF
CsgD,RegulonDB_TF,TF
CspA,RegulonDB_TF,TF
CsqR,RegulonDB_TF,TF
CsrA,Ecocyc,Translation
csrC,RegulonDB_sRNA,sRNA
CueR,RegulonDB_TF,TF
CusR,RegulonDB_TF,TF
cyaR,RegulonDB_sRNA,sRNA
CynR,RegulonDB_TF,TF
CysB,RegulonDB_TF,TF
CytR,RegulonDB_TF,TF
DcuR,RegulonDB_TF,TF
DeaD,Ecocyc,RNA helicase
DecR,Ecocyc,TF
DeoR,RegulonDB_TF,TF
DgoR,RegulonDB_TF,TF
DhaR,RegulonDB_TF,TF
DicA,RegulonDB_TF,TF
dicF,RegulonDB_sRNA,sRNA
DinJ-YafQ,RegulonDB_TF,TF
DksA,Ecocyc,TF
DnaA,RegulonDB_TF,TF
DpiA,RegulonDB_TF,TF
DsdC,RegulonDB_TF,TF
dsrA,RegulonDB_sRNA,sRNA
EbgR,RegulonDB_TF,TF
EcpR,RegulonDB_TF,TF
EnvR,RegulonDB_TF,TF
EnvY,RegulonDB_TF,TF
EvgA,RegulonDB_TF,TF
ExuR,RegulonDB_TF,TF
FabR,RegulonDB_TF,TF
FadR,RegulonDB_TF,TF
FeaR,RegulonDB_TF,TF
FecI,Ecocyc,sigma
ffs,RegulonDB_sRNA,sRNA
FhlA,RegulonDB_TF,TF
Fis,RegulonDB_TF,TF
FlhDC,RegulonDB_TF,TF
FliA,RegulonDB_sigma,sigma
FliZ,RegulonDB_TF,TF
FMN,Ecocyc,
Fnr,RegulonDB_TF,TF
fnrS,RegulonDB_sRNA,sRNA
FrmR,Ecocyc,TF
FucR,RegulonDB_TF,TF
Fur,RegulonDB_TF,TF
GadE,RegulonDB_TF,TF
GadE-RcsB,RegulonDB_TF,TF
GadW,RegulonDB_TF,TF
GadX,RegulonDB_TF,TF
gadY,RegulonDB_sRNA,sRNA
GalR,RegulonDB_TF,TF
GalS,RegulonDB_TF,TF
GatR,RegulonDB_TF,TF
GcvA,RegulonDB_TF,TF
gcvB,RegulonDB_sRNA,sRNA
GlaR,RegulonDB_TF,TF
GlcC,RegulonDB_TF,TF
glmY,RegulonDB_sRNA,sRNA
glmZ,RegulonDB_sRNA,sRNA
GlpR,RegulonDB_TF,TF
GlrR,RegulonDB_TF,TF
GntR,RegulonDB_TF,TF
Guanidinium,Ecocyc,Translation
GutM,RegulonDB_TF,TF
H,Ecocyc,
H-NS,RegulonDB_TF,TF
HcaR,RegulonDB_TF,TF
HdfR,RegulonDB_TF,TF
Hfq,Ecocyc,RNA binding
HicB,RegulonDB_TF,TF
HigA,RegulonDB_TF,TF
HigBA,RegulonDB_TF,TF
HipAB,RegulonDB_TF,TF
HipB,RegulonDB_TF,TF
His-tRNA,Ecocyc,
HprR,RegulonDB_TF,TF
HU,RegulonDB_TF,TF
HyfR,RegulonDB_TF,TF
HypT,RegulonDB_TF,TF
IclR,RegulonDB_TF,TF
IdnR,RegulonDB_TF,TF
IHF,RegulonDB_TF,TF
Ile-tRNA,Ecocyc,
IlvY,RegulonDB_TF,TF
ipeX,RegulonDB_sRNA,sRNA
IscR,RegulonDB_TF,TF
KdgR,RegulonDB_TF,TF
KdpE,RegulonDB_TF,TF
L-tryptophan,Ecocyc,
LacI,RegulonDB_TF,TF
Leu-tRNA,Ecocyc,
LeuO,RegulonDB_TF,TF
LexA,RegulonDB_TF,TF
LldR,RegulonDB_TF,TF
LrhA,RegulonDB_TF,TF
Lrp,RegulonDB_TF,TF
LsrR,RegulonDB_TF,TF
LysR,RegulonDB_TF,TF
MalI,RegulonDB_TF,TF
MalT,RegulonDB_TF,TF
MarA,RegulonDB_TF,TF
MarR,RegulonDB_TF,TF
MazE,RegulonDB_TF,TF
MazE-MazF,RegulonDB_TF,TF
mcaS,RegulonDB_sRNA,sRNA
McbR,RegulonDB_TF,TF
MelR,RegulonDB_TF,TF
MetJ,RegulonDB_TF,TF
MetR,RegulonDB_TF,TF
mgrR,RegulonDB_sRNA,sRNA
MhpR,RegulonDB_TF,TF
micA,RegulonDB_sRNA,sRNA
micC,RegulonDB_sRNA,sRNA
micF,RegulonDB_sRNA,sRNA
MicL,Ecocyc,sRNA
Mlc,RegulonDB_TF,TF
MlrA,RegulonDB_TF,TF
Mn2,Ecocyc,
MngR,RegulonDB_TF,TF
MntR,RegulonDB_TF,TF
ModE,RegulonDB_TF,TF
Molybdopterin,Ecocyc,
MprA,RegulonDB_TF,TF
MqsA,RegulonDB_TF,TF
MraZ,RegulonDB_TF,TF
MurR,RegulonDB_TF,TF
Nac,RegulonDB_TF,TF
NadR,RegulonDB_TF,TF
NagC,RegulonDB_TF,TF
NanR,RegulonDB_TF,TF
NarL,RegulonDB_TF,TF
NarP,RegulonDB_TF,TF
NemR,RegulonDB_TF,TF
NfeR,RegulonDB_TF,TF
