Gene_Name,Bnb,Product,ECKnb,Names,Object_ID,Directly_Activates_IDs,Directly_Inhibites_IDs
G7135,b2103,HMP-P-KIN-MONOMER,ECK2096,thiD@thiA@thiJ@b2103@ECK2096,G7135,,
EG10684,b0741,EG10684-MONOMER,ECK0730,pal@excC@b0741@ECK0730,EG10684,,
EG11316,b3571,ALPHA-AMYL-PERI-MONOMER,ECK3560,malS@b3571@ECK3560,EG11316,,
EG11861,b3897,EG11861-MONOMER,ECK3890,frvR@yiiH@b3897@ECK3890,EG11861,,
G6892,b1655,G6892-MONOMER,ECK1651,mepH@ydhO@b1655@ECK1651,G6892,,
G6238,b0423,THII-MONOMER,ECK0417,thiI@nuvA@yajK@b0423@ECK0417,G6238,,
G6355,b0648,G6355-MONOMER,ECK0641,ybeU@b0648@ECK0641,G6355,,
EG11505,b1842,EG11505-MONOMER,ECK1843,holE@b1842@ECK1843,EG11505,,
EG11054,b3666,UHPT-MONOMER,ECK3657,uhpT@b3666@ECK3657,EG11054,,
G6873,b1629,G6873-MONOMER,ECK1625,rsxC@ydgN@b1629@ECK1625,G6873,,
G6190,b0325,G6190-MONOMER,ECK0323,yahK@b0325@ECK0323,G6190,,
G1,b4407,THIS-MONOMER,ECK3983,thiS@thiG1@b4407@ECK3983,G1,,
EG10126,b3966,EG10126-MONOMER,ECK3958,btuB@bfe@cer@b3966@ECK3958,EG10126,,
EG10815,b3751,RBSB-MONOMER,ECK3745,rbsB@prlB@rbsP@b3751@ECK3745,EG10815,,
EG11103,b0535,EG11103-MONOMER,ECK0528,fimZ@ybcA@b0535@ECK0528,EG11103,,
EG11253,b0925,EG11253-MONOMER,ECK0916,ldtD@ycbB@b0925@ECK0916,EG11253,,
G6239,b0425,2-DEHYDROPANTOATE-REDUCT-MONOMER,ECK0419,panE@apbA@b0425@ECK0419,G6239,,
G0-17108,b4833,RNA0-426,ECK4690,kilS@b4833@ECK4690,G0-17108,,
EG10239,b3066,EG10239-MONOMER,ECK3056,dnaG@dnaP@parB@sdgA@b3066@ECK3056,EG10239,,
EG10576,b3236,MALATE-DEHASE-MONOMER,ECK3225,mdh@b3236@ECK3225,EG10576,,
EG10664,b2964,NUPG-MONOMER,ECK2959,nupG@gru@b2964@ECK2959,EG10664,,
G0-17094,b4819,MONOMER0-4547,ECK4676,ypeD@b4819@ECK4676,G0-17094,,
EG11746,b0133,PANTOATE-BETA-ALANINE-LIG-MONOMER,ECK0132,panC@b0133@ECK0132,EG11746,,
G7377,b2642,G7377-MONOMER,ECK2638,yfjW@b2642@ECK2638,G7377,,
EG10526,b0343,LACY-MONOMER,ECK0340,lacY@b0343@ECK0340,EG10526,,
EG10044,b1739,EG10044-MONOMER,ECK1737,osmE@anr@b1739@ECK1737,EG10044,,
EG10013,b1856,EG10013-MONOMER,ECK1857,mepM@yebA@b1856@ECK1857,EG10013,,
EG10922,b3974,PANTOTHENATE-KIN-MONOMER,ECK3966,coaA@panK@rts@ts-9@b3974@ECK3966,EG10922,,
G0-16695,,RNA0-394,,naRNA2,G0-16695,,
EG11413,b4259,EG11413-MONOMER,ECK4252,holC@b4259@ECK4252,EG11413,,
EG10348,b2800,FUCPALDOL-MONOMER,ECK2795,fucA@fucC@prd@b2800@ECK2795,EG10348,,
G6754,b1443,YDCV-MONOMER,ECK1437,ydcV@b1443@ECK1437,G6754,,
G0-10707,b4703,MONOMER0-4214,ECK4515,pmrR@b4703@ECK4515,G0-10707,,
EG10004,b3639,EG10004-MONOMER,ECK3629,dfp@coaBC@b3639@ECK3629,EG10004,,
G7279,b2449,G7279-MONOMER,ECK2444,yffR@b2449@ECK2444,G7279,,
