Gene,41-1Ti9,E101,E1167,HS,H120,TA054,TA249,TA280,TA447,M114,E1114,MG1655,ROAR8,JJ1886,UTI89,S88
aaeA,1.60982855150173,1.89481633512064,1.46261365587553,2.27647491897838,2.29016504093951,2.41489640652304,2.24030613495515,1.50317271316527,2.59281091595654,1.67948871250882,2.52396541240199,2.23821074517242,1.6898802397014,2.42139814722424,2.23560201199747,1.80446180537959
aaeB,2.05525323438281,2.09349667033939,2.08552021910002,2.28495829424885,2.29866919283711,2.29279387225366,1.83891729165006,1.98285422866271,2.25390183691653,1.82235912667771,2.34052837638725,2.16129398145536,1.724585220483,2.406866642107,2.00942456147115,2.30774262636138
aaeR,4.91477164159685,4.58604251524597,4.7595929680612,4.6448428812002,4.79897066370423,4.65637177950311,5.7916566156688,4.58521760708828,4.79491021022072,4.93925074590738,4.59924714731747,4.92853991522176,5.16102047466727,6.10752786865044,6.222782391264,6.02999800504406
aaeX,1.59924535107586,1.61935558741134,2.52088095727071,2.40428058901886,1.68908411369565,2.73590845729904,2.85810901071666,1.17856905044541,2.79709536894651,1.1052227722235,1.93331900264412,1.25354438815206,1.96685704211816,1.42125577909858,2.29830957216154,2.55211956816922
aas,5.50389694266969,5.81736873921767,5.57591433077121,5.59527013221028,5.44091517545623,5.52932676499802,5.34164783534731,5.45409328342688,5.99281183329494,5.54751774984503,6.4205964192262,5.0683823545732,5.41745919885188,5.52386593831261,5.65739300529691,5.4872434950381
aat,5.03232152059448,5.74016827601144,5.61882191149776,5.71479435755665,5.06859645913407,6.20759024102899,5.14809727388373,5.28697516008036,5.95041086693934,4.85720710123591,6.03243282481739,5.46792317741886,4.93705242582563,5.53102306160547,5.72202574186907,5.92937313908186
abrB,3.36376827540254,3.65839614335446,3.06821870826368,2.98220541916538,3.6474640907494,3.48305194447904,4.94834378514693,4.3672986346443,4.22607696531908,4.69829914505017,2.65370242175426,3.45672704239469,4.44974754167675,5.6489959332653,5.98542362467244,5.59873109999207
accA,8.26304827346082,9.07570659800321,9.41510329435578,8.90144852699563,8.64714524772693,9.07657419326881,7.89190685914977,8.34669343805015,9.22215572054156,7.98831252206686,8.67023592866494,7.84087384321703,8.21168308056719,8.5495243771337,8.31951221628025,8.47954613523645
accB,10.18329127755,10.2354952106189,10.5075965832101,10.621765623964,10.4264792299627,10.3175974121356,9.93046725685519,10.1498195744556,10.5677998593245,9.84553468484072,10.387927863942,9.3542333191039,9.93433598721829,9.85360209528082,9.49204870278406,9.75992749199272
accC,10.7456872093886,10.8602024985918,10.8164199911438,10.9369365726935,10.8901822696503,10.8346047224697,10.3183616413929,10.6455880426648,10.9504062698674,10.5522415761886,10.7838868713226,9.79665289664924,10.4258947794988,10.667326247355,10.186460733511,10.1018006945129
