gene,211027_01_S001,211027_02_S001,211027_03_S001,211027_04_S001,211027_05_S001,211027_06_S001,211027_07_S001,211027_08_S001,211027_09_S001,211027_10_S001,211027_11_S001,211027_12_S001,211027_13_S001,211027_14_S001,211027_15_S001,211027_16_S001
thrL,7521.437,7643.115,1912.569,2435.091,8058.745,5226.549,6122.579,6782.964,5628.613,6594.008,2457.237,2569.607,4379.626,4927.385,4397.168,1560.256
thrA,638.01615,565.5791,894.6066,632.2088,708.6247,1014.4568,308.15965,632.1177,613.0548,773.2838,209.65355,443.3595,359.0827,666.2682,297.83065,299.9056
thrB,876.5038,754.2021,1254.012,839.70745,851.5985,1278.1125,369.92195,721.8342,800.47635,910.7565,266.6862,580.7496,496.5043,753.06135,357.61915,418.75505
thrC,646.677,541.461,676.5995,619.10855,613.05535,914.9804,274.3202,541.0302,534.65775,614.8062,232.6614,388.93055,463.11945,544.4141,199.9604,265.294
yaaX,99.135255,91.11145,53.19257,45.342275,91.919395,93.08322,54.645155,66.908955,54.879665,58.82312,42.81682,36.364335,54.83216,63.01766,36.137255,32.480535
yaaA,282.88335,239.91275,623.174,450.49605,249.86795,295.69365,107.8166,679.26595,739.3101,399.5128,235.3016,224.73515,367.17085,615.33375,240.6986,229.5854
yaaJ,64.38789,61.61944,162.6104,118.95745,81.57038,59.541815,39.57292,99.047785,69.049225,55.20984,39.94354,45.15515,59.904545,146.00025,35.167295,132.7602
talB,2542.881,2516.299,2064.3435,1442.879,2865.2515,3662.688,1179.5195,2294.469,2053.7145,912.41795,2326.2325,1827.7855,3327.8685,2060.4425,1006.7516,763.86855
mog,809.0607,661.93515,432.256,323.7463,663.6849,564.4869,342.31875,410.24315,315.42805,273.27505,425.6055,397.95955,549.36965,427.1589,98.393245,219.7069
yaaH,228.1758,200.04975,76.250285,59.66968,198.95295,125.47855,100.63884,104.941475,57.380475,64.06463,74.60389,82.45977,138.55355,100.656175,32.418605,34.29745
yaaW,24.101165,19.70859,25.93964,18.75067,27.936735,22.139655,11.333895,24.07333,19.59688,10.279804,6.1154245,11.07826,19.621005,19.405755,6.916702,9.482963
htgA,12.91802,14.05382,5.762182,4.7128495,9.2992505,8.2483165,6.289131,5.8761675,2.6142345,6.788183,5.804687,2.5970985,5.8357245,4.4152255,2.6028445,2.376127
yaaI,20.694495,19.803825,13.817115,12.554995,22.185785,17.405565,14.459055,20.178775,14.727865,16.392445,12.22904,12.135155,14.92209,15.721785,11.795725,6.9129805
dnaK,8321.9405,7902.533,5363.583,4562.624,8492.637,10964.5,3392.474,9334.924,10678.375,6291.5705,3801.559,1772.6095,6039.391,6851.5065,6446.581,1563.023
dnaJ,1353.158,1104.52335,925.05865,786.8902,1407.1355,1122.656,571.0553,1487.6375,1109.3625,1236.5905,552.60615,409.8697,1110.621,1109.093,468.8502,345.27815
insL-1,7195.461,6919.832,1632.401,1183.3805,7166.747,5094.728,3007.664,2468.868,1324.21,1602.9,2737.155,2722.7515,4208.539,2397.2395,716.4142,517.96665
insL-2,7019.0305,6623.6435,1570.911,1164.378,6978.1045,5020.168,2935.2555,2386.55,1084.679,1567.285,2743.958,2541.157,4271.1855,2339.7295,741.43765,537.1748
insL-3,6641.797,6577.773,1545.565,1193.7105,6739.655,4749.2455,2914.9385,2341.5815,1305.756,1505.7295,2618.323,2618.0225,3985.1,2224.197,751.7043,538.71055
hokC,117.05315,129.28815,107.18865,71.156355,141.84435,92.05078,57.20643,84.99228,86.35608,35.556105,44.288995,39.45668,71.68148,84.70302,38.22974,50.97956
mokC,31.13898,28.4957,21.77662,16.867275,31.09576,17.58862,12.167162,15.2989,15.977885,8.5322655,10.226614,8.883552,15.56327,13.278535,7.7307905,6.74794
nhaA,477.37655,449.34545,1187.114,763.5222,439.63185,352.41875,183.328,1552.045,940.2092,509.66365,357.9747,515.1922,527.6439,1609.3545,409.34215,344.33765
nhaR,187.447,182.92015,199.06185,133.5864,176.05005,137.75485,85.9283,358.7984,152.8443,126.4977,120.1561,93.692505,166.61765,312.4134,95.046005,67.362795
insB-1,1002.7151,840.377,474.2304,401.9153,908.9381,584.9459,547.26305,767.7152,482.65885,542.3148,469.87,363.9854,626.95765,676.73675,298.4787,276.1338
insB-2,946.56,775.7281,477.2045,391.3528,898.9452,554.81655,527.16825,719.62235,435.97845,525.7456,485.6815,389.36975,608.07165,675.26785,297.62415,290.4205
insB-3,970.90675,801.2968,481.77085,394.81375,918.70465,556.6877,556.0441,725.88775,470.92985,532.48485,476.57555,366.5001,627.29065,664.9287,287.65335,282.12265
insB-4,1056.9285,826.8296,464.5961,391.6154,949.99535,592.98695,569.22775,744.35295,486.2044,529.2404,503.26715,362.0713,623.35085,655.5114,315.04165,289.80565
insB-6,978.4439,819.2115,486.7197,397.5081,947.6892,596.2166,558.87705,751.70925,465.7769,526.3754,439.33995,357.93905,626.38565,631.4059,307.97575,280.1085
insB-7_1,401.6467,319.67465,174.39275,144.17285,371.8634,235.96245,208.8863,323.5055,209.4194,159.2903,151.2657,123.2052,250.33515,228.95415,130.6222,95.96684
insB-7_2,528.03385,435.57955,229.8228,202.4625,515.5079,309.91465,315.92695,390.6605,260.0495,233.3439,194.7491,156.2446,299.9734,272.74275,178.438,138.3809
insB-7,469.5419,368.47685,202.13325,171.8569,406.75825,279.35935,226.31065,365.08095,242.4594,177.4242,163.9595,124.8426,274.0089,239.11815,141.64775,95.474595
insB,1061.7295,853.33425,490.48045,411.67115,996.08405,613.267,562.8004,749.14515,508.92535,549.1586,473.1182,369.14505,632.79505,655.5661,303.6618,283.8826
insA-1,835.8413,801.6085,459.14015,363.8796,823.8798,579.57455,498.3335,672.8311,409.993,414.512,460.38525,307.51685,571.51,584.41815,264.289,288.94925
insA-2,1013.75235,939.81925,507.42955,423.008,1019.9279,708.72765,562.94135,913.16705,452.9041,464.0102,470.21515,364.80405,659.8001,700.1846,319.0986,330.2681
insA-3,1036.6665,980.61915,543.5658,439.7069,1025.9414,695.0229,598.44,802.9201,496.9404,502.0429,563.61775,391.33335,690.65835,719.024,315.26075,321.4665
insA-6,867.67205,804.62695,416.8121,366.2263,820.79495,580.829,482.4948,687.94775,374.0354,433.65025,465.30735,296.01425,571.77415,587.3455,251.2064,276.11025
insA-7,539.97245,490.46965,279.20255,237.54305,538.68205,368.131,317.91885,463.39165,263.07565,260.7213,258.1953,184.3491,355.40095,374.5431,167.00525,169.16845
insA-4,1015.30745,946.2608,495.0808,426.83815,997.61845,708.3,556.96225,807.57,447.8348,457.3841,546.92355,381.99215,682.86625,689.95115,320.1508,354.43425
insA,842.54345,765.19385,433.06605,347.5905,807.2494,550.76655,486.3677,687.1584,394.6783,418.92785,443.9929,289.8387,555.0773,575.8814,267.1919,288.9686
rpsT,16704.52,12034.69,11160.74,12585.025,11196.28,11165.32,10776.16,18559.875,32898.925,19439.43,13572.95,15263.34,17822.385,16056.185,17721.215,6124.037
yaaY,61.608755,69.363525,43.739955,31.056295,84.67616,54.985875,30.34105,63.639535,32.622775,23.03923,23.68969,21.00591,27.82911,47.28722,22.50532,20.54782
ribF,1851.187,1573.94,1019.1954,774.33855,1889.1595,1717.774,767.9268,1378.2515,1312.8875,728.22835,1265.003,1144.8135,1746.073,1253.3855,458.8876,441.4462
ileS,1669.685,1423.284,1154.2035,965.26165,1783.259,1610.9055,860.4368,1352.634,1349.8065,993.50735,1057.5008,1080.99,1564.502,1285.086,570.37765,648.96255
lspA,12988.025,10518.79,7999.625,7162.132,13014.16,10417.11,7260.5345,7982.484,8839.181,7474.019,5919.6565,8088.255,9065.7615,7110.027,4617.239,4075.0185
fkpB,1924.108,1693.311,1231.9505,827.47125,2279.171,1903.7915,829.2048,1739.6185,1127.6908,921.34225,1215.7415,1207.22625,2043.1015,1677.6935,474.848,496.7642
ispH,838.43085,749.2919,580.9191,433.69195,977.36725,787.93975,408.1138,727.2177,523.77945,421.12105,523.03355,601.89205,854.221,709.04635,213.90955,221.2798
rihC,496.64945,474.7918,1088.358,816.66035,398.4031,822.7813,167.2785,572.1018,1146.634,338.74795,300.6012,276.16005,468.1379,881.7903,395.3521,621.16425
dapB,537.49645,463.9474,600.9418,543.95425,526.50945,643.5431,247.955,670.53685,720.40625,438.794,398.69015,477.19495,745.12355,571.2875,302.2067,276.6766
carA,585.6989,330.5403,307.62655,209.97505,255.99435,198.90795,164.26045,390.83435,126.36435,170.60285,380.5374,324.1667,438.73475,421.3242,60.08578,92.73615
carB,452.27105,281.1038,241.5554,177.2309,210.3204,158.99525,135.98535,271.87945,86.4219,98.16579,283.9617,237.2517,328.82315,310.41,33.798055,82.949745
