"","ProbeName","Count","Count.gbkey","Gbkeys","IDs","ECKnbs","JWnbs","Bnbs","IStag"
"1","thrL",1,1,"CDS","cds-BAE76026.1","ECK0001","JW4367","b0001",FALSE
"2","thrA",1,1,"CDS","cds-BAB96579.2","ECK0002","JW0001","b0002",FALSE
"3","thrB",1,1,"CDS","cds-BAB96580.2","ECK0003","JW0002","b0003",FALSE
"4","thrC",1,1,"CDS","cds-BAB96581.1","ECK0004","JW0003","b0004",FALSE
"5","yaaX",1,1,"CDS","cds-BAB96582.1","ECK0005","JW0004","b0005",FALSE
"6","yaaA",1,1,"CDS","cds-BAB96584.1","ECK0006","JW0005","b0006",FALSE
"7","yaaJ",1,1,"CDS","cds-BAB96585.1","ECK0007","JW0006","b0007",FALSE
"8","talB",1,1,"CDS","cds-BAB96586.1","ECK0008","JW0007","b0008",FALSE
"9","mog",1,1,"CDS","cds-BAB96587.2","ECK0009","JW0008","b0009",FALSE
"10","yaaH",1,1,"CDS","cds-BAB96588.2","ECK0010","JW0009","b0010",FALSE
"11","yaaW",1,1,"CDS","cds-BAE76027.1","ECK0011","JW0010","b0011",FALSE
"12","htgA",1,1,"CDS","cds-BAE76028.1","ECK0012","JW5001","b0012",FALSE
"13","yaaI",1,1,"CDS","cds-BAE76029.1","ECK0013","JW0012","b0013",FALSE
"14","dnaK",1,1,"CDS","cds-BAB96589.1","ECK0014","JW0013","b0014",FALSE
"15","dnaJ",1,1,"CDS","cds-BAB96590.1","ECK0015","JW0014","b0015",FALSE
"16","hokC",1,1,"CDS","cds-BAE76031.1","ECK0017","JW5002","b4412",FALSE
"17","mokC",1,1,"CDS","cds-BAB96591.1","ECK0018","JW5879","b0018",FALSE
"18","nhaA",1,1,"CDS","cds-BAB96592.1","ECK0020","JW0018","b0019",FALSE
"19","nhaR",1,1,"CDS","cds-BAE76032.1","ECK0021","JW0019","b0020",FALSE
"20","rpsT",1,1,"CDS","cds-BAB96593.1","ECK0024","JW0022","b0023",FALSE
"21","yaaY",1,1,"CDS","cds-BAE76035.1","ECK0025","JW5003","b0024",FALSE
"22","ribF",1,1,"CDS","cds-BAB96594.2","ECK0026","JW0023","b0025",FALSE
"23","ileS",1,1,"CDS","cds-BAB96595.2","ECK0027","JW0024","b0026",FALSE
"24","lspA",1,1,"CDS","cds-BAB96596.1","ECK0028","JW0025","b0027",FALSE
"25","fkpB",1,1,"CDS","cds-BAB96597.1","ECK0029","JW0026","b0028",FALSE
"26","ispH",1,1,"CDS","cds-BAB96598.1","ECK0030","JW0027","b0029",FALSE
"27","rihC",1,1,"CDS","cds-BAB96599.1","ECK0031","JW0028","b0030",FALSE
"28","dapB",1,1,"CDS","cds-BAB96600.1","ECK0032","JW0029","b0031",FALSE
"29","carA",1,1,"CDS","cds-BAB96601.1","ECK0033","JW0030","b0032",FALSE
"30","carB",1,1,"CDS","cds-BAB96602.1","ECK0034","JW0031","b0033",FALSE
