Start	End	Gene	Strand	Name	Parent	Product	Bnb	JWnb	ECKnb
190	255	CDS	D	thrL	thrL	thr operon leader peptide	b0001	JW4367	ECK0001
337	2799	CDS	D	thrA	thrA	fused aspartokinase I and homoserine dehydrogenase I	b0002	JW0001	ECK0002
2801	3733	CDS	D	thrB	thrB	homoserine kinase	b0003	JW0002	ECK0003
3734	5020	CDS	D	thrC	thrC	threonine synthase	b0004	JW0003	ECK0004
5234	5530	CDS	D	yaaX	yaaX	hypothetical protein	b0005	JW0004	ECK0005
5683	6459	CDS	C	yaaA	yaaA	conserved hypothetical protein	b0006	JW0005	ECK0006
6529	7959	CDS	C	yaaJ	yaaJ	predicted transporter	b0007	JW0006	ECK0007
8238	9191	CDS	D	talB	talB	transaldolase B	b0008	JW0007	ECK0008
9306	9893	CDS	D	mog	mog	predicted molybdochelatase	b0009	JW0008	ECK0009
9928	10494	CDS	C	yaaH	yaaH	conserved inner membrane protein associated with acetate transport	b0010	JW0009	ECK0010
10643	11356	CDS	C	yaaW	yaaW	conserved hypothetical protein	b0011	JW0010	ECK0011
10830	11315	CDS	D	htgA	htgA	hypothetical protein	b0012	JW5001	ECK0012
11382	11786	CDS	C	yaaI	yaaI	hypothetical protein	b0013	JW0012	ECK0013
12163	14079	CDS	D	dnaK	dnaK	chaperone Hsp70%2C co-chaperone with DnaJ	b0014	JW0013	ECK0014
14168	15298	CDS	D	dnaJ	dnaJ	chaperone Hsp40%2C co-chaperone with DnaK	b0015	JW0014	ECK0015
16751	16960	CDS	C	mokC	mokC	regulatory protein for HokC%2C overlaps CDS of hokC	b0018	JW5879	ECK0018
16751	16903	CDS	C	hokC	hokC	toxic membrane protein%2C small	b4412	JW5002	ECK0017
16952	17006	transcript	D	sokC	sokC	sokC	b4413	JWR0224	ECK0019
17489	18655	CDS	D	nhaA	nhaA	sodium-proton antiporter	b0019	JW0018	ECK0020
18715	19620	CDS	D	nhaR	nhaR	DNA-binding transcriptional activator	b0020	JW0019	ECK0021
20815	21078	CDS	C	rpsT	rpsT	30S ribosomal subunit protein S20	b0023	JW0022	ECK0024
21181	21399	CDS	D	yaaY	yaaY	hypothetical protein	b0024	JW5003	ECK0025
21407	22348	CDS	D	ribF	ribF	bifunctional riboflavin kinase and FAD synthetase	b0025	JW0023	ECK0026
22391	25207	CDS	D	ileS	ileS	isoleucyl-tRNA synthetase	b0026	JW0024	ECK0027
25207	25701	CDS	D	lspA	lspA	prolipoprotein signal peptidase	b0027	JW0025	ECK0028
25826	26275	CDS	D	fkpB	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase	b0028	JW0026	ECK0029
26277	27227	CDS	D	ispH	ispH	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase%2C 4Fe-4S protein	b0029	JW0027	ECK0030
27293	28207	CDS	D	rihC	rihC	ribonucleoside hydrolase 3	b0030	JW0028	ECK0031
28374	29195	CDS	D	dapB	dapB	dihydrodipicolinate reductase	b0031	JW0029	ECK0032
