"regulator","TU_prom","Effect","Evidence","Evidence_Level","regulator_id","Promoter","TU","gene_id","Category"
"AaeR","aaeXAB[aaeXp]","+","[GEA,HIFS,IHBCE,IMP,ICWHO,BPP,, GEA, HIFS, IHBCE, IMP, ICWHO, BPP]","STRONG","b3243","aaeXp","aaeXAB","b3240,b3241,b3242","TF"
"AccB","accBC[accBp1]","-","[GEA, IMP, IE, BTEI, BPP]","STRONG","b3255","accBp1","accBC","b3255,b3256","TF"
"AcrR","acrAB[acrAp]","-","[GEA, APPH, GEA, IEP, IMP, IEP, ITCR, LTED, AIBSCS, BPP]","STRONG","b0464","acrAp","acrAB","b0462,b0463","TF"
"AcrR","acrR[acrRp]","-","[AIBSCS, APIORCISFBSCS, BCE, BPP, GEA, APPH, GEA, IEP, IMP, AIBSCS, BPP]","STRONG","b0464","acrRp","acrR","b0464","TF"
"AcrR","flhDC[flhDp]","-","[GEA, APPH, GEA, IEP, IMP, LTED, APIORCISFBSCS]","STRONG","b0464","flhDp","flhDC","b1891,b1892","TF"
"AcrR","marRAB[marRp]","-","[GEA, APPH, GEA, IEP, IMP, BTEI, IEP, ITCR, LTED, APIORCISFBSCS, BPP]","STRONG","b0464","marRp","marRAB","b1531,b1530,b1532","TF"
"AcrR","micF[micFp1]","-","[APPH, GEA, IEP, IMP, BTEI, LTED, AIBSCS]","STRONG","b0464","micFp1","micF","b4439","TF"
"AcrR","micF[micFp2]","-","[APPH, GEA, IEP, IMP, BTEI, LTED, AIBSCS]","STRONG","b0464","micFp2","micF","b4439","TF"
"AcrR","soxR[soxRp]","-","[GEA, APPH, GEA, IEP, IMP, BTEI, APIORCISFBSCS, BPP]","STRONG","b0464","soxRp","soxR","b4063","TF"
"AcrR","soxS[soxSp]","-","[APIORCISFBSCS, BPP, GEA, APPH, GEA, IEP, IMP, LTED, APIORCISFBSCS, BPP]","STRONG","b0464","soxSp","soxS","b4062","TF"
"Ada","ada-alkB[adap]","+","[GEA, APPH, APPHINH, IDA, IMP, PM, APIORCISFBSCS, BPP, SM]","STRONG","b2213","adap","ada-alkB","b2213,b2212","TF"
"Ada","ada-alkB[adap2]","+","[GEA, APPH, APPHINH, IDA, IMP, PM, APIORCISFBSCS, BPP, SM]","STRONG","b2213","adap2","ada-alkB","b2213,b2212","TF"
"Ada","aidB[aidBp1]","+","[GEA, APPH, APPHINH, IDA, IMP, APIORCISFBSCS, BPP]","STRONG","b2213","aidBp1","aidB","b4187","TF"
"Ada","aidB[aidBp2]","+","[GEA, APPH, APPHINH, IDA, IMP, APIORCISFBSCS, BPP]","STRONG","b2213","aidBp2","aidB","b4187","TF"
"Ada","alkA[alkAp]","+","[GEA, APPH, APPHINH, IDA, IMP, AISGDTU, APIORCISFBSCS, BPP, SM]","STRONG","b2213","alkAp","alkA","b2068","TF"
"Ada","alkA[alkAp2]","+","[GEA, APPH, APPHINH, IDA, IMP, AISGDTU, APIORCISFBSCS, BPP, SM]","STRONG","b2213","alkAp2","alkA","b2068","TF"
"AdiY","adiA[adiAp]","+","[GEA, GEA, HIFS, BTEI, BPP]","STRONG","b4116","adiAp","adiA","b4117","TF"
"AdiY","gadAX[gadAp]","+","[GEA, HIFS, BTEI, LTED, BPP]","STRONG","b4116","gadAp","gadAX","b3516,b3517","TF"
"AdiY","gadAX[gadAp2]","+","[GEA, HIFS, BTEI, LTED, BPP]","STRONG","b4116","gadAp2","gadAX","b3516,b3517","TF"
"AdiY","gadBC[gadBp]","+","[GEA, HIFS, BTEI, LTED, BPP]","STRONG","b4116","gadBp","gadBC","b1492,b1493","TF"
"AdiY","gadBC[gadBp2]","+","[GEA, HIFS, BTEI, LTED, BPP]","STRONG","b4116","gadBp2","gadBC","b1492,b1493","TF"
"AdiY","gltBDF[gltBp]","+","[GEA, HIFS, CV(LTED/PM), LTED, PM, BPP]","CONFIRMED","b4116","gltBp","gltBDF","b3212,b3213,b3214","TF"
"AdiY","gltBDF[gltBp2]","+","[GEA, HIFS, CV(LTED/PM), LTED, PM, BPP]","CONFIRMED","b4116","gltBp2","gltBDF","b3212,b3213,b3214","TF"
"AgaR","agaR[agaRp]","-","[GEA, APPH, IEP, AISGDTU, APIORCISFBSCS, BPP]","STRONG","b3131","agaRp","agaR","b3131","TF"
"AgaR","agaSYBCDI[agaSp]","-","[GEA, APPH, IEP, ITCR, APIORCISFBSCS, BPP]","STRONG","b3131","agaSp","agaSYBCDI","b3136,b3137,b3138,b3139,b3140,b3141","TF"
"AgaR","kbaZ-agaVWA[kbaZp]","-","[GEA, APPH, IEP, ITCR, APIORCISFBSCS, BPP]","STRONG","b3131","kbaZp","kbaZ-agaVWA","b3132,b3135,b3133,b3134","TF"
"AidB","aidB[aidBp1]","-","[GEA, APPP, IEP, BPP]","STRONG","b4187","aidBp1","aidB","b4187","TF"
"AidB","aidB[aidBp2]","-","[GEA, APPP, IEP, BPP]","STRONG","b4187","aidBp2","aidB","b4187","TF"
"AlaS","alaS[alaSp]","-","[GEA, APPHINH, HIFS, IEP, LTED, BPP, SM]","STRONG","b2697","alaSp","alaS","b2697","TF"
"AllR","allA[allAp]","-","[GEA, AUP, IEP, BTEI, BCE, BPP, SM]","STRONG","b0506","allAp","allA","b0505","TF"
"AllR","allS[allSp]","-","[GEA, AUP, IEP, BTEI, BCE, BPP, SM]","STRONG","b0506","allSp","allS","b0504","TF"
"AllR","gcl-hyi-glxR-ybbVW-allB-ybbY-glxK[gclp]","-","[GEA, AUP, IEP, ITCR, BCE, BPP, SM]","STRONG","b0506","gclp","gcl-hyi-glxR-ybbVW-allB-ybbY-glxK","b0507,b0508,b0509,b0511,b0512,b0513,b0514","TF"
"AllS","allDC-ylbA[allDp]","+","[AIFS, IEP, ITCR, APIORCISFBSCS, BCE]","WEAK","b0504","allDp","allDC-ylbA","b0515,b0516,b0517","TF"
"AlpA","phoBR[phoBp]","-","[GEA, IMP, BPP]","STRONG","b2624","phoBp","phoBR","b0399,b0400","TF"
"AlsR","alsRBACE[alsRp2]","-","[GEA, AIFS, GEA, IEP, IHBCE, PM, BPP]","STRONG","b4089","alsRp2","alsRBACE","b4089,b4085,b4086,b4087,b4088","TF"
"AlsR","alsRBACE[alsRp1]","-","[GEA, AIFS, GEA, IEP, IHBCE, PM, BPP]","STRONG","b4089","alsRp1","alsRBACE","b4089,b4085,b4086,b4087,b4088","TF"
"AlsR","rpiB[rpiBp]","-","[GEA, AIFS, GEA, IEP, IHBCE, BTEI, BPP]","STRONG","b4089","rpiBp","rpiB","b4090","TF"
"AppY","appCBA-yccB[appCp]","+","[GEA, IE, ITCR, PM, BPP]","STRONG","b0564","appCp","appCBA-yccB","b0978,b0979,b4592,b0980","TF"
"AppY","appCBA-yccB[appCp2]","+","[GEA, IE, ITCR, PM, BPP]","STRONG","b0564","appCp2","appCBA-yccB","b0978,b0979,b4592,b0980","TF"
"AppY","hyaABCDEF[hyaAp]","+","[GEA, IE, BTEI, ITCR, BPP]","STRONG","b0564","hyaAp","hyaABCDEF","b0975,b0976,b0972,b0973,b0974,b0977","TF"
"AppY","hyaABCDEF[hyaAp2]","+","[GEA, IE, BTEI, ITCR, BPP]","STRONG","b0564","hyaAp2","hyaABCDEF","b0975,b0976,b0972,b0973,b0974,b0977","TF"
"AraC","araBAD[araBp]","+","[GEA, APPH, IEP, APIORCISFBSCS, BPP, SM, BCE]","STRONG","b0064","araBp","araBAD","b0061,b0062,b0063","TF"
"AraC","araC[araCp]","+","[GEA, APPH, IEP, APIORCISFBSCS, BPP, SM, BCE]","STRONG","b0064","araCp","araC","b0064","TF"
"AraC","araE[araEp]","+","[APPH, IEP, LTED, APIORCISFBSCS, BPP]","STRONG","b0064","araEp","araE","b2841","TF"
"AraC","araE-ygeA[araEp]","+","[APPH, IEP, LTED, APIORCISFBSCS, BPP]","STRONG","b0064","araEp","araE-ygeA","b2840,b2841","TF"
"AraC","araFGH[araFp1]","+","[APPH, IEP, ITCR, BPP, SM, APIORCISFBSCS, AIBSCS]","STRONG","b0064","araFp1","araFGH","b4460,b1900,b1901","TF"
"AraC","araFGH[araFp3]","+","[APPH, IEP, ITCR, BPP, SM, AIBSCS, APIORCISFBSCS]","STRONG","b0064","araFp3","araFGH","b4460,b1900,b1901","TF"
"AraC","araJ[araJp]","+","[APPH, IEP, APIORCISFBSCS, BPP, AIBSCS]","STRONG","b0064","araJp","araJ","b0396","TF"
"AraC","xylAB[xylAp]","-","[GEA, APPH, IEP, BTEI, ITCR, BCE, APIORCISFBSCS]","STRONG","b0064","xylAp","xylAB","b3564,b3565","TF"
"AraC","ydeNM[ydeNp]","-","[GEA, APPH, IEP, IC, ITCR, BPP]","STRONG","b0064","ydeNp","ydeNM","b1497,b1498","TF"
"ArcA","aceBAK[aceBp]","-","[RBM, AIFS, APPH, APPHINH, GEA, HIFS, PM, BPP]","STRONG","b4401","aceBp","aceBAK","b4014,b4015,b4016","TF"
"ArcA","aceEF[aceEp1]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, LTED, BPP]","STRONG","b4401","aceEp1","aceEF","b0114,b0115","TF"
"ArcA","aceEF[aceEp2]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, LTED, BPP]","STRONG","b4401","aceEp2","aceEF","b0114,b0115","TF"
"ArcA","ackA[ackAp]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BPP]","STRONG","b4401","ackAp","ackA","b2296","TF"
"ArcA","acnA[acnAp2]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, LTED, APIORCISFBSCS]","STRONG","b4401","acnAp2","acnA","b4741,b1276","TF"
"ArcA","acnB[acnBp1]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, LTED, APIORCISFBSCS, EME, AIBSPD, CCE]","STRONG","b4401","acnBp1","acnB","b0118","TF"
"ArcA","aldA[aldAp]","-","[AIFS, APPH, APPHINH, GEA, HIFS, LTED, APIORCISFBSCS, BPP, AIBSCS, SM, EME, AIBSPD, CCE]","STRONG","b4401","aldAp","aldA","b1415","TF"
"ArcA","appCBA-yccB[appCp]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, ITCR, PM, BPP]","STRONG","b4401","appCp","appCBA-yccB","b0978,b0979,b4592,b0980","TF"
"ArcA","appCBA-yccB[appCp2]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, ITCR, PM, BPP]","STRONG","b4401","appCp2","appCBA-yccB","b0978,b0979,b4592,b0980","TF"
"ArcA","appY[appYp2]","+","[AIFS, APPH, APPHINH, GEA, HIFS, IEP, AIBSCS]","STRONG","b4401","appYp2","appY","b0564","TF"
"ArcA","arcZ[arcZp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, AISGDTU, LTED, APIORCISFBSCS]","STRONG","b4401","arcZp","arcZ","b4450","TF"
"ArcA","betIBA[betIp]","-","[AIFS, APPH, APPHINH, GEA, HIFS, BCE]","STRONG","b4401","betIp","betIBA","b0313,b0311,b0312","TF"
"ArcA","betT[betTp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BCE]","STRONG","b4401","betTp","betT","b0314","TF"
"ArcA","cadBA[cadBp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, PM, AIBSCS]","STRONG","b4401","cadBp","cadBA","b4131,b4132","TF"
"ArcA","caiTABCDE[caiTp]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, PAGTSBP, AIBSCS]","STRONG","b4401","caiTp","caiTABCDE","b0035,b0036,b0037,b0038,b0039,b0040","TF"
"ArcA","citCDEFXG[citCp1]","-","[AIFS, APPH, APPHINH, GEA, HIFS, ICWHO, PAGTSBP, AIBSCS]","STRONG","b4401","citCp1","citCDEFXG","b0613,b0614,b0615,b0616,b0617,b0618","TF"
"ArcA","cydAB[cydAp3]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BPP]","STRONG","b4401","cydAp3","cydAB","b0733,b0734","TF"
"ArcA","cydAB[cydAp4]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BPP]","STRONG","b4401","cydAp4","cydAB","b0733,b0734","TF"
"ArcA","cydAB[cydAp1]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, TAS, AIBSCS, BPP, APIORCISFBSCS, BCE]","STRONG","b4401","cydAp1","cydAB","b0733,b0734","TF"
"ArcA","cydAB[cydAp2]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, APIORCISFBSCS, BPP]","STRONG","b4401","cydAp2","cydAB","b0733,b0734","TF"
"ArcA","cydDC[cydDp]","+","[EME, GEA, AIFS, APPH, APPHINH, GEA, HIFS, CV(LTED/PM), LTED, PM, AIBSPD, CCE]","CONFIRMED","b4401","cydDp","cydDC","b0886,b0887","TF"
"ArcA","cyoABCDE[cyoAp]","-","[EME, GEA, AIFS, APPH, APPHINH, GEA, HIFS, AIBSPD, BCE, CCE]","STRONG","b4401","cyoAp","cyoABCDE","b0428,b0429,b0430,b0431,b0432","TF"
"ArcA","dctA[dctAp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, LTED, BPP]","STRONG","b4401","dctAp","dctA","b3528","TF"
"ArcA","dcuC[dcuCp]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, APIORCISFBSCS]","STRONG","b4401","dcuCp","dcuC","b0621","TF"
"ArcA","dpiBA[dpiBp1]","+","[AIBSCS, AIFS, APPH, APPHINH, GEA, HIFS, ICWHO, LTED, PAGTSBP, AIBSCS]","STRONG","b4401","dpiBp1","dpiBA","b0619,b0620","TF"
"ArcA","fadBA[fadBp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, PAGTSBP, AIBSCS, BPP]","STRONG","b4401","fadBp","fadBA","b3845,b3846","TF"
"ArcA","fadD-sroD[fadDp]","-","[EME, AIFS, APPH, APPHINH, GEA, HIFS, BTEI, AIBSCS, AIBSPD, BPP, CCE]","STRONG","b4401","fadDp","fadD-sroD","b1805","TF"
"ArcA","fadE[fadEp]","-","[EME, GEA, AIFS, APPH, APPHINH, GEA, HIFS, AISGDTU, AIBSCS, AIBSPD, BPP, CCE]","STRONG","b4401","fadEp","fadE","b0221","TF"
"ArcA","fadH[fadHp]","-","[EME, GEA, AIFS, APPH, APPHINH, GEA, HIFS, ICWHO, AIBSPD, APIORCISFBSCS, CCE]","STRONG","b4401","fadHp","fadH","b3081","TF"
"ArcA","fadIJ[fadIp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, AIBSCS, BPP]","STRONG","b4401","fadIp","fadIJ","b2341,b2342","TF"
"ArcA","fadL[fadLp]","-","[AIFS, APPH, APPHINH, GEA, HIFS, IHBCE, AIBSCS, BPP]","STRONG","b4401","fadLp","fadL","b2344","TF"
"ArcA","fnr[fnrp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BPP]","STRONG","b4401","fnrp","fnr","b1334","TF"
"ArcA","focA-pflB[focAp1]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, LTED, APIORCISFBSCS, EME, AIBSPD, CCE, BPP]","STRONG","b4401","focAp1","focA-pflB","b0903,b0904","TF"
"ArcA","focA-pflB[focAp2]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, LTED, APIORCISFBSCS]","STRONG","b4401","focAp2","focA-pflB","b0903,b0904","TF"
"ArcA","fumA[fumAp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, ICWHO, LTED, BPP]","STRONG","b4401","fumAp","fumA","b1612","TF"
"ArcA","fumAC[fumAp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, ITCR, BPP]","STRONG","b4401","fumAp","fumAC","b1611,b1612","TF"
"ArcA","fumB[fumBp]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BTEI, LTED, BPP]","STRONG","b4401","fumBp","fumB","b4122","TF"
"ArcA","fumC[fumCp2]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BPP]","STRONG","b4401","fumCp2","fumC","b1611","TF"
"ArcA","gadAX[gadAp]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BTEI, LTED, BPP]","STRONG","b4401","gadAp","gadAX","b3516,b3517","TF"
"ArcA","gadAX[gadAp2]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BTEI, LTED, BPP]","STRONG","b4401","gadAp2","gadAX","b3516,b3517","TF"
"ArcA","gadEF[gadEp1]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BPP]","STRONG","b4401","gadEp1","gadEF","b3512,b4718","TF"
"ArcA","gadEF[gadEp3]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BPP]","STRONG","b4401","gadEp3","gadEF","b3512,b4718","TF"
"ArcA","gatYZABCD[gatYp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BTEI, BPP]","STRONG","b4401","gatYp","gatYZABCD","b2095,b2091,b2092,b2093,b2094,b2096","TF"
"ArcA","glcDEFGBA[glcDp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, LTED, AIBSCS, AIBSPD, BPP, CCE]","STRONG","b4401","glcDp","glcDEFGBA","b2975,b2976,b2977,b4467,b4468,b2979","TF"
"ArcA","glpABC[glpABCp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BTEI, PM, BPP]","STRONG","b4401","glpABCp","glpABC","b2241,b2242,b2243","TF"
"ArcA","glpD[glpDp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BPP]","STRONG","b4401","glpDp","glpD","b3426","TF"
"ArcA","gltA[gltAp1]","-","[EME, GEA, AIFS, APPH, APPHINH, GEA, HIFS, LTED, AIBSPD, APIORCISFBSCS, BCE, CCE]","STRONG","b4401","gltAp1","gltA","b0720","TF"
"ArcA","grcA[grcAp1]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BTEI, APIORCISFBSCS]","STRONG","b4401","grcAp1","grcA","b2579","TF"
"ArcA","hemA-prfA-prmC[hemAp1]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, LTED, BPP]","STRONG","b4401","hemAp1","hemA-prfA-prmC","b1211,b1210,b1212","TF"
