"regulator","gene_name","gene_id","effect","evidence","source","category","regulator_label","Use","regulator_id"
"AaeR","aaeA","b3241","+","STRONG","RegulonDB_TF","TF",NA,NA,"b3243"
"AaeR","aaeB","b3240","+","STRONG","RegulonDB_TF","TF",NA,NA,"b3243"
"AaeR","aaeX","b3242","+","STRONG","RegulonDB_TF","TF",NA,NA,"b3243"
"AccB","accB","b3255","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3255"
"AccB","accC","b3256","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3255"
"AcrR","acrA","b0463","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464"
"AcrR","acrB","b0462","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464"
"AcrR","acrR","b0464","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464"
"AcrR","flhC","b1891","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464"
"AcrR","flhD","b1892","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464"
"AcrR","marA","b1531","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464"
"AcrR","marB","b1532","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464"
"AcrR","marR","b1530","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464"
"AcrR","micF","b4439","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464"
"AcrR","soxR","b4063","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464"
"AcrR","soxS","b4062","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464"
"Ada","aidB","b4187","+","STRONG","RegulonDB_TF","TF",NA,NA,"b2213"
"Ada","alkA","b2068","+","STRONG","RegulonDB_TF","TF",NA,NA,"b2213"
"AdiY","adiA","b4117","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4116"
"AdiY","gadA","b3517","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4116"
"AdiY","gadB","b1493","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4116"
"AdiY","gadC","b1492","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4116"
"AdiY","gadX","b3516","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4116"
"AdiY","gltB","b3212","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4116"
"AdiY","gltD","b3213","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4116"
"AdiY","gltF","b3214","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4116"
"AgaR","agaA","b3135","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131"
"AgaR","agaB","b3138","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131"
"AgaR","agaC","b3139","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131"
"AgaR","agaD","b3140","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131"
"AgaR","agaI","b3141","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131"
"AgaR","agaR","b3131","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131"
"AgaR","agaS","b3136","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131"
"AgaR","agaV","b3133","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131"
"AgaR","agaW","b3134","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131"
"AgaR","kbaY","b3137","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131"
"AgaR","kbaZ","b3132","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131"
"AidB","aidB","b4187","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4187"
"AlaS","alaS","b2697","-","STRONG","RegulonDB_TF","TF",NA,NA,"b2697"
"AllR","allA","b0505","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0506"
"AllR","allB","b0512","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0506"
"AllR","allS","b0504","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0506"
"AllR","gcl","b0507","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0506"
"AllR","glxK","b0514","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0506"
"AllR","glxR","b0509","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0506"
"AllR","hyi","b0508","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0506"
"AllR","ybbW","b0511","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0506"
"AllR","ybbY","b0513","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0506"
"AllS","allC","b0516","+","WEAK","RegulonDB_TF","TF",NA,NA,"b0504"
"AllS","allD","b0517","+","WEAK","RegulonDB_TF","TF",NA,NA,"b0504"
"AllS","allE","b0515","+","WEAK","RegulonDB_TF","TF",NA,NA,"b0504"
"AlpA","phoB","b0399","-","STRONG","RegulonDB_TF","TF",NA,NA,"b2624"
"AlpA","phoR","b0400","-","STRONG","RegulonDB_TF","TF",NA,NA,"b2624"
"AlsR","alsA","b4087","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4089"
"AlsR","alsB","b4088","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4089"
"AlsR","alsC","b4086","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4089"
"AlsR","alsE","b4085","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4089"
"AlsR","alsR","b4089","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4089"
"AlsR","rpiB","b4090","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4089"
"AppY","appA","b0980","+","STRONG","RegulonDB_TF","TF",NA,NA,"b0564"
"AppY","appB","b0979","+","STRONG","RegulonDB_TF","TF",NA,NA,"b0564"
"AppY","appC","b0978","+","STRONG","RegulonDB_TF","TF",NA,NA,"b0564"
"AppY","appX","b4592","+","STRONG","RegulonDB_TF","TF",NA,NA,"b0564"
"AppY","hyaA","b0972","+","STRONG","RegulonDB_TF","TF",NA,NA,"b0564"
"AppY","hyaB","b0973","+","STRONG","RegulonDB_TF","TF",NA,NA,"b0564"
"AppY","hyaC","b0974","+","STRONG","RegulonDB_TF","TF",NA,NA,"b0564"
"AppY","hyaD","b0975","+","STRONG","RegulonDB_TF","TF",NA,NA,"b0564"
"AppY","hyaE","b0976","+","STRONG","RegulonDB_TF","TF",NA,NA,"b0564"
"AppY","hyaF","b0977","+","STRONG","RegulonDB_TF","TF",NA,NA,"b0564"
"AraC","araE","b2841","+","STRONG","RegulonDB_TF","TF",NA,NA,"b0064"
"AraC","araF","b1901","+","STRONG","RegulonDB_TF","TF",NA,NA,"b0064"
"AraC","araG","b1900","+","STRONG","RegulonDB_TF","TF",NA,NA,"b0064"
"AraC","araH","b4460","+","STRONG","RegulonDB_TF","TF",NA,NA,"b0064"
"AraC","araJ","b0396","+","STRONG","RegulonDB_TF","TF",NA,NA,"b0064"
"AraC","xylA","b3565","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0064"
"AraC","xylB","b3564","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0064"
"AraC","ydeM","b1497","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0064"
"AraC","ydeN","b1498","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0064"
"AraC","ygeA","b2840","+","STRONG","RegulonDB_TF","TF",NA,NA,"b0064"
"ArcA","aceA","b4015","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","aceB","b4014","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","aceE","b0114","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","aceF","b0115","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","aceK","b4016","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","ackA","b2296","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","acnA","b1276","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","acnB","b0118","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","aldA","b1415","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","appA","b0980","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","appB","b0979","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","appC","b0978","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","appX","b4592","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","appY","b0564","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","arcZ","b4450","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","betA","b0311","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","betB","b0312","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","betI","b0313","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","betT","b0314","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","cadA","b4131","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","cadB","b4132","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","caiA","b0039","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","caiB","b0038","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","caiC","b0037","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","caiD","b0036","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","caiE","b0035","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","caiT","b0040","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","citC","b0618","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","citD","b0617","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","citE","b0616","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","citF","b0615","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","citG","b0613","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","citX","b0614","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","cydA","b0733","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","cydB","b0734","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","cydC","b0886","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","cydD","b0887","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","cyoA","b0432","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","cyoB","b0431","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","cyoC","b0430","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","cyoD","b0429","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","cyoE","b0428","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","dctA","b3528","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","dcuC","b0621","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","dpiA","b0620","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","dpiB","b0619","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","fadA","b3845","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","fadB","b3846","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","fadD","b1805","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","fadE","b0221","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","fadH","b3081","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","fadI","b2342","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","fadJ","b2341","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","fadL","b2344","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","fnr","b1334","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","focA","b0904","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","fumA","b1612","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","fumB","b4122","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","fumC","b1611","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","gadA","b3517","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","gadE","b3512","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","gadF","b4718","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","gadX","b3516","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","gatA","b2094","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","gatB","b2093","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","gatC","b2092","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","gatD","b2091","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","gatY","b2096","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","gatZ","b2095","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","glcA","b2975","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","glcB","b2976","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","glcD","b2979","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","glcE","b4468","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","glcF","b4467","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","glcG","b2977","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","glpA","b2241","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","glpB","b2242","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","glpC","b2243","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","glpD","b3426","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","gltA","b0720","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","grcA","b2579","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","hemA","b1210","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","hyaA","b0972","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","hyaB","b0973","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","hyaC","b0974","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","hyaD","b0975","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","hyaE","b0976","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","hyaF","b0977","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","hybA","b2996","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","hybB","b2995","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","hybC","b2994","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","hybD","b2993","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","hybE","b2992","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","hybF","b2991","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","hybG","b2990","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","hybO","b2997","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","icd","b1136","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","iraM","b1160","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","lldD","b3605","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","lldP","b3603","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","lldR","b3604","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","lpd","b0116","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","mdh","b3236","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","moeA","b0827","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","moeB","b0826","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","ndh","b1109","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","nuoA","b2288","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","nuoB","b2287","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","nuoC","b2286","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","nuoE","b2285","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","nuoF","b2284","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","nuoG","b2283","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","nuoH","b2282","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","nuoI","b2281","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","nuoJ","b2280","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","nuoK","b2279","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","nuoL","b2278","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","nuoM","b2277","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","nuoN","b2276","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","ompW","b1256","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","oppA","b1243","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","oppB","b1244","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","oppC","b1245","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","oppD","b1246","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","oppF","b1247","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","pflB","b0903","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","prfA","b1211","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","prmC","b1212","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","ptsG","b1101","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","puuA","b1297","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","puuB","b1301","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","puuC","b1300","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","puuD","b1298","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","puuE","b1302","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","puuP","b1296","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","puuR","b1299","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rhaT","b3907","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rmf","b0953","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rplB","b3317","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rplC","b3320","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rplD","b3319","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rplP","b3313","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rplV","b3315","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rplW","b3318","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rpmC","b3312","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rpoS","b2741","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rpsC","b3314","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rpsJ","b3321","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rpsQ","b3311","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rpsS","b3316","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rsd","b3995","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rutA","b1012","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rutB","b1011","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rutC","b1010","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rutD","b1009","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rutE","b1008","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rutF","b1007","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","rutG","b1006","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
